_id,invite_code,new_invite_code,invite.guild.id,invite.guild.name,invite.approximate_member_count
5f915219ecf5a59e4a58c3e7,aah8pg,qkptyE4,768526917477203970,Cum,1
5f915221ecf5a59e4a58c3e8,aagnDf,vpZw9wT,596842309216370709,Fends,27
5f915222ecf5a59e4a58c3e9,aahXXF,null,694031886602993734,Young and Free Indeed,413
5f915223ecf5a59e4a58c3ea,aahSgK,9SAg9dq,768533008890068992,Сервер Jek Dosson,1
5f915228ecf5a59e4a58c3eb,aahTCr,txtHFEw,768538477436338216,El servidor de Jaqui_ibañez,2
5f91522fecf5a59e4a58c3ec,aahW9F,uSbUMUU,768526659765796874,Doa nın gifleri için,1
5f91522fecf5a59e4a58c3ed,aahQQv,zbD6syB,764227245979074580,GamingLightbulbs,17
5f915235ecf5a59e4a58c3ee,aahWUU,DJS7Nc2,548891547660451851,"Lexaah's Server",13
5f915237ecf5a59e4a58c3ef,aahmTc,null,741721648843194411,Among Us LFG,145310
5f91523fecf5a59e4a58c3f0,aahTMf,5U5GPHs,766994262671228938,ordu fantezileri,4
5f915243ecf5a59e4a58c3f1,aah9wc,null,359155744202948620,Vlads dirty hole,10
5f91524eecf5a59e4a58c3f2,aahSzw,eG7Vt5p,768657027488546916,เซิร์ฟเวอร์ของ chana6789,1
5f915257ecf5a59e4a58c3f3,aahK3y,dWEv5pg,766699617278099467,Renx SMP,6
5f9152c1ecf5a59e4a58c3f4,aahU59,EcuQnWE,765163518285578241,idot gang{TFO!},4
5f9152c7ecf5a59e4a58c3f5,aajdnA,zeZcA7z,694781537102594139,We Iz FaMiLy,67
5f9152cdecf5a59e4a58c3f6,aajfs2,Hby5Q53,724847625626714113,𝘈𝘴𝘵𝘳𝘰𝘯𝘢𝘶𝘵 𝘎𝘢𝘮𝘦𝘴,8674
5f9152cfecf5a59e4a58c3f7,aajdJV,qy43gkX,399649811554631703,A B N,139210
5f9152e0ecf5a59e4a58c3f8,aajm7f,g7xHPqt,590447170377875457,Overwatch morocco,360
5f9152eeecf5a59e4a58c3f9,aahUnf,tMZyV9c,768616332794527804,Trew_Latam,5
5f9152f9ecf5a59e4a58c3fa,aajrhV,z7qK5Y2,508028479778979843,marco_rennmaus Community,156
5f915302ecf5a59e4a58c3fb,aajnqt,GUBA95X,766493717963866172,Darlings,437
5f915313ecf5a59e4a58c3fc,aajub8,URaJf8N,702203032980684850,NCT,35
5f915315ecf5a59e4a58c3fd,aajmEs,RUJMykm,707160566090825728,Zoar,24
5f915319ecf5a59e4a58c3fe,aajjbc,3nUTDv2,768516975659319357,among us,3
5f91531cecf5a59e4a58c3ff,aajzUS,xB3BjRW,732703652405575682,"budder's servers",2
5f91531fecf5a59e4a58c400,aajKpj,ncJjgXA,689990283219304474,YDSA,28
5f915322ecf5a59e4a58c401,aajuQD,null,446735637413101578,Innersloth (Among Us),603305
5f91532aecf5a59e4a58c402,aajG2f,bMaFVY3,765838476935299093,SD,3
5f91532aecf5a59e4a58c403,aajEn3,bp3n2mh,764805316676157473,RTV İÜ-C,30
5f91533becf5a59e4a58c404,aajU9n,fKX6pDD,751513619816120390,serwer klasowy 1a XI LO,28
5f91533decf5a59e4a58c405,aajMC6,XyEgbDm,452485673954574337,GAME ZONE 14,63
5f915346ecf5a59e4a58c406,aajYAz,b8vNWud,707931412954742825,𝔼𝔾𝕐ℙ𝕋,28
5f915350ecf5a59e4a58c407,aajQZY,null,762656756320698378,Game Center ID,35
5f915350ecf5a59e4a58c408,aaj3Ud,KUhySrD,762729158890750043,anywany,4
5f915354ecf5a59e4a58c409,aajRXS,XAB5rqS,747616278952280205,Chili Dog Boys Evil Lair,11
5f915359ecf5a59e4a58c40a,aajM82,3M5W66V,701527835478720622,"Alfian's server",4
5f915360ecf5a59e4a58c40b,aajGdd,zrKCvhp,548947562061758464,Rewon-Z`eSport,21
5f915365ecf5a59e4a58c40c,aajZcg,KytVnKm,768721092394876928,"k8mo's server",1
